t_home,t_away,t_win,t_loss,gameUID,date
SAC,LAC,LAC,SAC,52f29f95ddbd75540aba6db4,1985-10-25
CLE,BOS,BOS,CLE,52f29f96ddbd75540aba6db7,1985-10-26
IND,NJN,IND,NJN,52f29f98ddbd75540aba6dba,1985-10-26
NYK,PHI,PHI,NYK,52f29f99ddbd75540aba6dbd,1985-10-26
ATL,NYK,ATL,NYK,52f29f9bddbd75540aba6dc0,1985-10-29
DAL,LAL,LAL,DAL,52f29f9cddbd75540aba6dc2,1985-10-29
DET,NJN,DET,NJN,52f29f9cddbd75540aba6dc3,1985-10-29
GSW,CHI,CHI,GSW,52f29f9dddbd75540aba6dc4,1985-10-29
HOU,SEA,HOU,SEA,52f29f9dddbd75540aba6dc5,1985-10-29
LAC,POR,LAC,POR,52f29f9eddbd75540aba6dc6,1985-10-29
MIL,PHI,MIL,PHI,52f29f9eddbd75540aba6dc7,1985-10-29
PHO,DEN,DEN,PHO,52f29f9fddbd75540aba6dc8,1985-10-29
SAS,UTA,SAS,UTA,52f29f9fddbd75540aba6dc9,1985-10-29
BOS,MIL,BOS,MIL,52f29fa0ddbd75540aba6dca,1985-10-30
NJN,IND,NJN,IND,52f29fa0ddbd75540aba6dcb,1985-10-30
PHI,DET,PHI,DET,52f29fa1ddbd75540aba6dcc,1985-10-30
UTA,SAS,UTA,SAS,52f29fa1ddbd75540aba6dcd,1985-10-30
DEN,SEA,DEN,SEA,52f29fa2ddbd75540aba6dce,1985-10-31
DAL,SAC,DAL,SAC,52f29fa7ddbd75540aba6dda,1985-11-02
GSW,LAL,LAL,GSW,52f29fa7ddbd75540aba6ddb,1985-11-02
