,t_home,t_away,t_win,t_loss,gameUID,date
23743,WAS,PHI,WAS,PHI,52f2f2dc90a4948418328366,2009-11-24
23744,IND,DAL,DAL,IND,52f2f2ea90a494841832837a,2009-11-27
23745,MIA,WAS,WAS,MIA,52f2f2ea90a494841832837b,2009-11-27
23746,MIN,PHO,PHO,MIN,52f2f2eb90a494841832837c,2009-11-27
23747,OKC,MIL,OKC,MIL,52f2f2ec90a494841832837d,2009-11-27
23748,PHI,ATL,ATL,PHI,52f2f2ec90a494841832837e,2009-11-27
23749,POR,MEM,MEM,POR,52f2f2ed90a494841832837f,2009-11-27
23750,SAC,NJN,SAC,NJN,52f2f2ee90a4948418328380,2009-11-27
23751,CLE,DAL,CLE,DAL,52f2f2ee90a4948418328381,2009-11-28
23752,GSW,LAL,LAL,GSW,52f2f2ef90a4948418328382,2009-11-28
23753,MIL,ORL,ORL,MIL,52f2f2f090a4948418328383,2009-11-28
23754,UTA,POR,UTA,POR,52f2f2f090a4948418328384,2009-11-28
23755,WAS,CHA,CHA,WAS,52f2f2f190a4948418328385,2009-11-28
23756,DEN,MIN,MIN,DEN,52f2f2f190a4948418328386,2009-11-29
23757,DET,ATL,DET,ATL,52f2f2f290a4948418328387,2009-11-29
23758,LAC,MEM,LAC,MEM,52f2f2f390a4948418328388,2009-11-29
23759,LAL,NJN,LAL,NJN,52f2f2f390a4948418328389,2009-11-29
23760,MIA,BOS,BOS,MIA,52f2f2f490a494841832838a,2009-11-29
23761,NYK,ORL,ORL,NYK,52f2f2f590a494841832838b,2009-11-29
23762,OKC,HOU,HOU,OKC,52f2f2f590a494841832838c,2009-11-29
23763,SAC,NOH,SAC,NOH,52f2f2f690a494841832838d,2009-11-29
23764,SAS,PHI,SAS,PHI,52f2f2f790a494841832838e,2009-11-29
23765,TOR,PHO,PHO,TOR,52f2f2f790a494841832838f,2009-11-29
23766,DAL,PHI,DAL,PHI,52f2f2f890a4948418328390,2009-11-30
23767,GSW,IND,GSW,IND,52f2f2f990a4948418328391,2009-11-30
23768,MIL,CHI,MIL,CHI,52f2f2f990a4948418328392,2009-11-30
23769,UTA,MEM,UTA,MEM,52f2f2fa90a4948418328393,2009-11-30
23770,CHA,BOS,BOS,CHA,52f2f2fb90a4948418328394,2009-12-01
23771,DEN,GSW,DEN,GSW,52f2f2fb90a4948418328395,2009-12-01
23772,LAL,NOH,LAL,NOH,52f2f2fc90a4948418328396,2009-12-01
23773,NYK,PHO,NYK,PHO,52f2f2fc90a4948418328397,2009-12-01
23774,POR,MIA,MIA,POR,52f2f2fd90a4948418328398,2009-12-01
23775,TOR,WAS,WAS,TOR,52f2f2fe90a4948418328399,2009-12-01
23776,ATL,TOR,ATL,TOR,52f2f2fe90a494841832839a,2009-12-02
23777,CHI,DET,CHI,DET,52f2f2ff90a494841832839b,2009-12-02
23778,CLE,PHO,CLE,PHO,52f2f30090a494841832839c,2009-12-02
23779,LAC,HOU,HOU,LAC,52f2f30090a494841832839d,2009-12-02
23780,MIN,MEM,MEM,MIN,52f2f30190a494841832839e,2009-12-02
23781,NJN,DAL,DAL,NJN,52f2f30290a494841832839f,2009-12-02
23782,OKC,PHI,OKC,PHI,52f2f30390a49484183283a0,2009-12-02
23783,ORL,NYK,ORL,NYK,52f2f30490a49484183283a1,2009-12-02
23784,SAC,IND,SAC,IND,52f2f30590a49484183283a2,2009-12-02
23785,WAS,MIL,WAS,MIL,52f2f30590a49484183283a3,2009-12-02
23786,DEN,MIA,DEN,MIA,52f2f30690a49484183283a4,2009-12-03
