t_home,t_away,t_win,t_loss,gameUID,date
SAC,LAC,LAC,SAC,52f29f95ddbd75540aba6db4,1985-10-25
CLE,BOS,BOS,CLE,52f29f96ddbd75540aba6db7,1985-10-26
IND,NJN,IND,NJN,52f29f98ddbd75540aba6dba,1985-10-26
NYK,PHI,PHI,NYK,52f29f99ddbd75540aba6dbd,1985-10-26
ATL,NYK,ATL,NYK,52f29f9bddbd75540aba6dc0,1985-10-29
DAL,LAL,LAL,DAL,52f29f9cddbd75540aba6dc2,1985-10-29
DET,NJN,DET,NJN,52f29f9cddbd75540aba6dc3,1985-10-29
GSW,CHI,CHI,GSW,52f29f9dddbd75540aba6dc4,1985-10-29
HOU,SEA,HOU,SEA,52f29f9dddbd75540aba6dc5,1985-10-29
LAC,POR,LAC,POR,52f29f9eddbd75540aba6dc6,1985-10-29
MIL,PHI,MIL,PHI,52f29f9eddbd75540aba6dc7,1985-10-29
PHO,DEN,DEN,PHO,52f29f9fddbd75540aba6dc8,1985-10-29
SAS,UTA,SAS,UTA,52f29f9fddbd75540aba6dc9,1985-10-29
BOS,MIL,BOS,MIL,52f29fa0ddbd75540aba6dca,1985-10-30
NJN,IND,NJN,IND,52f29fa0ddbd75540aba6dcb,1985-10-30
PHI,DET,PHI,DET,52f29fa1ddbd75540aba6dcc,1985-10-30
UTA,SAS,UTA,SAS,52f29fa1ddbd75540aba6dcd,1985-10-30
DEN,SEA,DEN,SEA,52f29fa2ddbd75540aba6dce,1985-10-31
DAL,SAC,DAL,SAC,52f29fa7ddbd75540aba6dda,1985-11-02
GSW,LAL,LAL,GSW,52f29fa7ddbd75540aba6ddb,1985-11-02
HOU,SAS,HOU,SAS,52f29fa8ddbd75540aba6ddc,1985-11-02
IND,DET,DET,IND,52f29fa8ddbd75540aba6ddd,1985-11-02
LAC,NYK,LAC,NYK,52f29fa9ddbd75540aba6dde,1985-11-02
LAC,ATL,ATL,LAC,52f29fb9ddbd75540aba6e01,1985-11-09
CHI,MIL,MIL,CHI,52f29fbeddbd75540aba6e0a,1985-11-12
GSW,LAC,GSW,LAC,52f29fbeddbd75540aba6e0c,1985-11-12
HOU,DEN,HOU,DEN,52f29fbfddbd75540aba6e0d,1985-11-12
LAL,UTA,LAL,UTA,52f29fbfddbd75540aba6e0e,1985-11-12
NYK,PHO,NYK,PHO,52f29fc0ddbd75540aba6e0f,1985-11-12
POR,SAC,POR,SAC,52f29fc0ddbd75540aba6e10,1985-11-12
SEA,DAL,SEA,DAL,52f29fc1ddbd75540aba6e11,1985-11-12
ATL,PHO,ATL,PHO,52f29fc1ddbd75540aba6e12,1985-11-13
BOS,IND,BOS,IND,52f29fc2ddbd75540aba6e13,1985-11-13
LAC,SEA,SEA,LAC,52f29fc2ddbd75540aba6e14,1985-11-13
MIL,DET,MIL,DET,52f29fc3ddbd75540aba6e15,1985-11-13
PHI,CHI,PHI,CHI,52f29fc3ddbd75540aba6e16,1985-11-13
UTA,DAL,DAL,UTA,52f29fc4ddbd75540aba6e17,1985-11-13
DEN,SAS,DEN,SAS,52f29fc4ddbd75540aba6e18,1985-11-14
HOU,NJN,HOU,NJN,52f29fc4ddbd75540aba6e19,1985-11-14
IND,CLE,CLE,IND,52f29fc5ddbd75540aba6e1a,1985-11-14
LAL,POR,LAL,POR,52f29fc5ddbd75540aba6e1b,1985-11-14
SAC,GSW,SAC,GSW,52f29fc6ddbd75540aba6e1c,1985-11-14
ATL,DET,ATL,DET,52f29fc6ddbd75540aba6e1d,1985-11-15
BOS,WSB,BOS,WSB,52f29fc7ddbd75540aba6e1e,1985-11-15
DAL,NJN,DAL,NJN,52f29fc7ddbd75540aba6e1f,1985-11-15
LAC,LAL,LAL,LAC,52f29fc8ddbd75540aba6e20,1985-11-15
MIL,CHI,MIL,CHI,52f29fc8ddbd75540aba6e21,1985-11-15
PHO,SEA,PHO,SEA,52f29fc9ddbd75540aba6e22,1985-11-15
UTA,POR,UTA,POR,52f29fc9ddbd75540aba6e23,1985-11-15
CHI,CLE,CLE,CHI,52f29fcaddbd75540aba6e24,1985-11-16
DEN,LAC,DEN,LAC,52f29fcaddbd75540aba6e25,1985-11-16
GSW,PHO,GSW,PHO,52f29fcbddbd75540aba6e26,1985-11-16
HOU,DAL,HOU,DAL,52f29fcbddbd75540aba6e27,1985-11-16
IND,BOS,IND,BOS,52f29fccddbd75540aba6e28,1985-11-16
NYK,ATL,NYK,ATL,52f29fccddbd75540aba6e29,1985-11-16
SAC,UTA,UTA,SAC,52f29fccddbd75540aba6e2a,1985-11-16
SAS,SEA,SAS,SEA,52f29fcdddbd75540aba6e2b,1985-11-16
WSB,PHI,WSB,PHI,52f29fcdddbd75540aba6e2c,1985-11-16
LAL,NJN,LAL,NJN,52f29fceddbd75540aba6e2d,1985-11-17
