ast,blk,drb,fg,fg3,fg3a,fga,ft,fta,mp,orb,pf,player_name,pts,stl,tov,trb,gameUID,date,team
3,0,8,4,0,0,10,7,8,37:00,0,4,Cedric Maxwell,15,1,3,8,52f29f95ddbd75540aba6db4,1985-10-25,Los Angeles Clippers
0,2,11,2,0,0,7,3,4,37:00,4,5,James Donaldson,7,0,3,15,52f29f95ddbd75540aba6db4,1985-10-25,Los Angeles Clippers
1,2,2,14,0,0,19,8,14,36:00,4,6,Derek Smith,36,1,4,6,52f29f95ddbd75540aba6db4,1985-10-25,Los Angeles Clippers
8,0,2,5,0,0,10,6,6,35:00,0,2,Franklin Edwards,16,3,2,2,52f29f95ddbd75540aba6db4,1985-10-25,Los Angeles Clippers
4,1,0,9,0,0,16,2,2,32:00,1,4,Marques Johnson,20,1,2,1,52f29f95ddbd75540aba6db4,1985-10-25,Los Angeles Clippers
1,1,2,2,0,0,4,1,2,24:00,1,4,Michael Cage,5,0,0,3,52f29f95ddbd75540aba6db4,1985-10-25,Los Angeles Clippers
1,0,2,1,0,0,7,2,2,14:00,1,2,Jamaal Wilkes,4,1,1,3,52f29f95ddbd75540aba6db4,1985-10-25,Los Angeles Clippers
1,0,0,0,0,0,2,0,0,12:00,0,2,Junior Bridgeman,0,0,1,0,52f29f95ddbd75540aba6db4,1985-10-25,Los Angeles Clippers
0,1,4,1,0,0,2,1,2,6:00,0,3,Benoit Benjamin,3,0,1,4,52f29f95ddbd75540aba6db4,1985-10-25,Los Angeles Clippers
0,0,0,1,0,0,2,0,0,5:00,0,0,Lancaster Gordon,2,0,1,0,52f29f95ddbd75540aba6db4,1985-10-25,Los Angeles Clippers
0,0,0,0,0,0,1,0,0,2:00,0,0,Jay Murphy,0,0,0,0,52f29f95ddbd75540aba6db4,1985-10-25,Los Angeles Clippers
3,0,1,7,0,1,18,5,7,40:00,3,3,Eddie Johnson,19,2,4,4,52f29f95ddbd75540aba6db4,1985-10-25,Sacramento Kings
4,1,3,9,0,1,15,6,6,39:00,1,4,Reggie Theus,24,2,3,4,52f29f95ddbd75540aba6db4,1985-10-25,Sacramento Kings
