coach_id,year,team,Name
TomThibodeau,2010-11,CHI,Tom Thibodeau
ErikSpoelstra,2010-11,MIA,Erik Spoelstra
DocRivers,2010-11,BOS,Doc Rivers
StanVan Gundy,2010-11,ORL,Stan Van Gundy
LarryDrew,2010-11,ATL,Larry Drew
MikeD'Antoni,2010-11,NYK,Mike D'Antoni
DougCollins,2010-11,PHI,Doug Collins
FrankVogel,2010-11,IND,Frank Vogel
ScottSkiles,2010-11,MIL,Scott Skiles
PaulSilas,2010-11,CHR,Paul Silas
JohnKuester,2010-11,DET,John Kuester
AveryJohnson,2010-11,BKN,Avery Johnson
FlipSaunders,2010-11,WAS,Flip Saunders
JayTriano,2010-11,TOR,Jay Triano
ByronScott,2010-11,CLE,Byron Scott
GreggPopovich,2010-11,SAS,Gregg Popovich
PhilJackson,2010-11,LAL,Phil Jackson
RickCarlisle,2010-11,DAL,Rick Carlisle
ScottBrooks,2010-11,OKC,Scott Brooks
GeorgeKarl,2010-11,DEN,George Karl
NateMcMillan,2010-11,POR,Nate McMillan
MontyWilliams,2010-11,NOH,Monty Williams
Lionel Hollins,2010-11,MEM,Lionel  Hollins
RickAdelman,2010-11,HOU,Rick Adelman
AlvinGentry,2010-11,PHO,Alvin Gentry
JerrySloan,2010-11,UTA,Jerry Sloan
KeithSmart,2010-11,GSW,Keith Smart
VinnyDel Negro,2010-11,LAC,Vinny Del Negro
PaulWestphal,2010-11,SAC,Paul Westphal
KurtRambis,2010-11,MIN,Kurt Rambis
TomThibodeau,2011-12,CHI,Tom Thibodeau
ErikSpoelstra,2011-12,MIA,Erik Spoelstra
FrankVogel,2011-12,IND,Frank Vogel
DocRivers,2011-12,BOS,Doc Rivers
LarryDrew,2011-12,ATL,Larry Drew
StanVan Gundy,2011-12,ORL,Stan Van Gundy
MikeWoodson,2011-12,NYK,Mike Woodson
DougCollins,2011-12,PHI,Doug Collins
ScottSkiles,2011-12,MIL,Scott Skiles
LawrenceFrank,2011-12,DET,Lawrence Frank
DwaneCasey,2011-12,TOR,Dwane Casey
AveryJohnson,2011-12,BKN,Avery Johnson
ByronScott,2011-12,CLE,Byron Scott
RandyWittman,2011-12,WAS,Randy Wittman
PaulSilas,2011-12,CHR,Paul Silas
GreggPopovich,2011-12,SAS,Gregg Popovich
ScottBrooks,2011-12,OKC,Scott Brooks
MikeBrown,2011-12,LAL,Mike Brown
Lionel Hollins,2011-12,MEM,Lionel  Hollins
VinnyDel Negro,2011-12,LAC,Vinny Del Negro
GeorgeKarl,2011-12,DEN,George Karl
RickCarlisle,2011-12,DAL,Rick Carlisle
TyroneCorbin,2011-12,UTA,Tyrone Corbin
KevinMcHale,2011-12,HOU,Kevin McHale
AlvinGentry,2011-12,PHO,Alvin Gentry
NateMcMillan,2011-12,POR,Nate McMillan
RickAdelman,2011-12,MIN,Rick Adelman
MarkJackson,2011-12,GSW,Mark Jackson
KeithSmart,2011-12,SAC,Keith Smart
MontyWilliams,2011-12,NOH,Monty Williams
ErikSpoelstra,2012-13,MIA,Erik Spoelstra
ErikSpoelstra,2013-14,MIA,Erik Spoelstra
MikeWoodson,2012-13,NYK,Mike Woodson
MikeWoodson,2013-14,NYK,Mike Woodson
FrankVogel,2012-13,IND,Frank Vogel
FrankVogel,2013-14,IND,Frank Vogel
PeterCarlesimo,2012-13,BKN,Peter Carlesimo
JasonKidd,2013-14,BKN,Jason Kidd
TomThibodeau,2012-13,CHI,Tom Thibodeau
TomThibodeau,2013-14,CHI,Tom Thibodeau
LarryDrew,2012-13,ATL,Larry Drew
MikeBudenholzer,2013-14,ATL,Mike Budenholzer
GlennRivers,2012-13,BOS,Glenn Rivers
BradStevens,2013-14,BOS,Brad Stevens
ScottSkiles,2012-13,MIL,Scott Skiles
LarryDrew,2013-14,MIL,Larry Drew
PaulCollins,2012-13,PHI,Paul Collins
BrettBrown,2013-14,PHI,Brett Brown
DwaneCasey,2012-13,TOR,Dwane Casey
DwaneCasey,2013-14,TOR,Dwane Casey
RandyWittman,2012-13,WAS,Randy Wittman
RandyWittman,2013-14,WAS,Randy Wittman
LawrenceFrank,2012-13,DET,Lawrence Frank
MauriceCheeks,2013-14,DET,Maurice Cheeks
ByronScott,2012-13,CLE,Byron Scott
MichaelBrown,2013-14,CLE,Michael Brown
MikeDunlap,2012-13,CHA,Mike Dunlap
SteveClifford,2013-14,CHA,Steve Clifford
JacqueVaughn,2012-13,ORL,Jacque Vaughn
JacqueVaughn,2013-14,ORL,Jacque Vaughn
ScottBrooks,2012-13,OKC,Scott Brooks
ScottBrooks,2013-14,OKC,Scott Brooks
GreggPopovich,2012-13,SAS,Gregg Popovich
GreggPopovich,2013-14,SAS,Gregg Popovich
GeorgeKarl,2012-13,DEN,George Karl
