t_home	t_away	t_win	t_loss	gameUID	date	season	home_score	away_score
WAS	PHI	WAS	PHI	52f2f2dc90a4948418328366	11/24/2009	2009-10	108	107
IND	DAL	DAL	IND	52f2f2ea90a494841832837a	11/27/2009	2009-10	92	113
MIA	WAS	WAS	MIA	52f2f2ea90a494841832837b	11/27/2009	2009-10	84	94
MIN	PHO	PHO	MIN	52f2f2eb90a494841832837c	11/27/2009	2009-10	95	120
OKC	MIL	OKC	MIL	52f2f2ec90a494841832837d	11/27/2009	2009-10	108	90
PHI	ATL	ATL	PHI	52f2f2ec90a494841832837e	11/27/2009	2009-10	86	100
POR	MEM	MEM	POR	52f2f2ed90a494841832837f	11/27/2009	2009-10	96	106
SAC	NJN	SAC	NJN	52f2f2ee90a4948418328380	11/27/2009	2009-10	109	96
CLE	DAL	CLE	DAL	52f2f2ee90a4948418328381	11/28/2009	2009-10	111	95
GSW	LAL	LAL	GSW	52f2f2ef90a4948418328382	11/28/2009	2009-10	97	130
MIL	ORL	ORL	MIL	52f2f2f090a4948418328383	11/28/2009	2009-10	98	100
UTA	POR	UTA	POR	52f2f2f090a4948418328384	11/28/2009	2009-10	108	92
WAS	CHA	CHA	WAS	52f2f2f190a4948418328385	11/28/2009	2009-10	76	92
DEN	MIN	MIN	DEN	52f2f2f190a4948418328386	11/29/2009	2009-10	100	106
DET	ATL	DET	ATL	52f2f2f290a4948418328387	11/29/2009	2009-10	94	88
LAC	MEM	LAC	MEM	52f2f2f390a4948418328388	11/29/2009	2009-10	98	88
LAL	NJN	LAL	NJN	52f2f2f390a4948418328389	11/29/2009	2009-10	106	87
MIA	BOS	BOS	MIA	52f2f2f490a494841832838a	11/29/2009	2009-10	85	92
NYK	ORL	ORL	NYK	52f2f2f590a494841832838b	11/29/2009	2009-10	102	114
OKC	HOU	HOU	OKC	52f2f2f590a494841832838c	11/29/2009	2009-10	91	100
SAC	NOH	SAC	NOH	52f2f2f690a494841832838d	11/29/2009	2009-10	112	96
SAS	PHI	SAS	PHI	52f2f2f790a494841832838e	11/29/2009	2009-10	97	89
TOR	PHO	PHO	TOR	52f2f2f790a494841832838f	11/29/2009	2009-10	94	113
DAL	PHI	DAL	PHI	52f2f2f890a4948418328390	11/30/2009	2009-10	104	102
GSW	IND	GSW	IND	52f2f2f990a4948418328391	11/30/2009	2009-10	126	107
MIL	CHI	MIL	CHI	52f2f2f990a4948418328392	11/30/2009	2009-10	99	97
UTA	MEM	UTA	MEM	52f2f2fa90a4948418328393	11/30/2009	2009-10	120	93
CHA	BOS	BOS	CHA	52f2f2fb90a4948418328394	12/1/2009	2009-10	90	108
DEN	GSW	DEN	GSW	52f2f2fb90a4948418328395	12/1/2009	2009-10	135	107
LAL	NOH	LAL	NOH	52f2f2fc90a4948418328396	12/1/2009	2009-10	110	99
NYK	PHO	NYK	PHO	52f2f2fc90a4948418328397	12/1/2009	2009-10	126	99
POR	MIA	MIA	POR	52f2f2fd90a4948418328398	12/1/2009	2009-10	100	107
TOR	WAS	WAS	TOR	52f2f2fe90a4948418328399	12/1/2009	2009-10	102	106
ATL	TOR	ATL	TOR	52f2f2fe90a494841832839a	12/2/2009	2009-10	146	115
CHI	DET	CHI	DET	52f2f2ff90a494841832839b	12/2/2009	2009-10	92	85
CLE	PHO	CLE	PHO	52f2f30090a494841832839c	12/2/2009	2009-10	107	90
LAC	HOU	HOU	LAC	52f2f30090a494841832839d	12/2/2009	2009-10	85	102
MIN	MEM	MEM	MIN	52f2f30190a494841832839e	12/2/2009	2009-10	95	97
NJN	DAL	DAL	NJN	52f2f30290a494841832839f	12/2/2009	2009-10	101	117
OKC	PHI	OKC	PHI	52f2f30390a49484183283a0	12/2/2009	2009-10	117	106
ORL	NYK	ORL	NYK	52f2f30490a49484183283a1	12/2/2009	2009-10	118	104
SAC	IND	SAC	IND	52f2f30590a49484183283a2	12/2/2009	2009-10	110	105
WAS	MIL	WAS	MIL	52f2f30590a49484183283a3	12/2/2009	2009-10	104	102
DEN	MIA	DEN	MIA	52f2f30690a49484183283a4	12/3/2009	2009-10	114	96
GSW	HOU	HOU	GSW	52f2f30790a49484183283a5	12/3/2009	2009-10	109	111
SAS	BOS	BOS	SAS	52f2f30790a49484183283a6	12/3/2009	2009-10	83	90
ATL	NYK	NYK	ATL	52f2f30890a49484183283a7	12/4/2009	2009-10	107	114
CLE	CHI	CLE	CHI	52f2f30990a49484183283a8	12/4/2009	2009-10	101	87
MEM	DAL	MEM	DAL	52f2f30b90a49484183283ab	12/4/2009	2009-10	98	82
NJN	CHA	NJN	CHA	52f2f30b90a49484183283ac	12/4/2009	2009-10	97	91
NOH	MIN	NOH	MIN	52f2f30c90a49484183283ad	12/4/2009	2009-10	98	89
OKC	BOS	BOS	OKC	52f2f30d90a49484183283ae	12/4/2009	2009-10	87	105
UTA	IND	UTA	IND	52f2f30d90a49484183283af	12/4/2009	2009-10	96	87
WAS	TOR	TOR	WAS	52f2f30e90a49484183283b0	12/4/2009	2009-10	107	109
CHA	PHI	CHA	PHI	52f2f30e90a49484183283b1	12/5/2009	2009-10	106	105
CHI	TOR	TOR	CHI	52f2f30f90a49484183283b2	12/5/2009	2009-10	78	110
DAL	ATL	ATL	DAL	52f2f31090a49484183283b3	12/5/2009	2009-10	75	80
GSW	ORL	ORL	GSW	52f2f31090a49484183283b4	12/5/2009	2009-10	118	126
LAC	IND	LAC	IND	52f2f31190a49484183283b5	12/5/2009	2009-10	88	72
MIN	UTA	MIN	UTA	52f2f31290a49484183283b6	12/5/2009	2009-10	108	101
PHO	SAC	PHO	SAC	52f2f31290a49484183283b7	12/5/2009	2009-10	115	107
POR	HOU	POR	HOU	52f2f31390a49484183283b8	12/5/2009	2009-10	90	89
SAS	DEN	DEN	SAS	52f2f31490a49484183283b9	12/5/2009	2009-10	99	106
DET	WAS	DET	WAS	52f2f31490a49484183283ba	12/6/2009	2009-10	98	94
LAL	PHO	LAL	PHO	52f2f31590a49484183283bb	12/6/2009	2009-10	108	88
MIL	CLE	CLE	MIL	52f2f31690a49484183283bc	12/6/2009	2009-10	86	101
SAC	MIA	MIA	SAC	52f2f31790a49484183283be	12/6/2009	2009-10	102	115
NYK	POR	NYK	POR	52f2f31890a49484183283bf	12/7/2009	2009-10	93	84
OKC	GSW	OKC	GSW	52f2f31890a49484183283c0	12/7/2009	2009-10	104	88
PHI	DEN	DEN	PHI	52f2f31990a49484183283c1	12/7/2009	2009-10	83	93
UTA	SAS	UTA	SAS	52f2f31990a49484183283c2	12/7/2009	2009-10	104	101
BOS	MIL	BOS	MIL	52f2f31a90a49484183283c3	12/8/2009	2009-10	98	89
CHA	DEN	CHA	DEN	52f2f31b90a49484183283c4	12/8/2009	2009-10	107	95
CHI	NJN	NJN	CHI	52f2f31b90a49484183283c5	12/8/2009	2009-10	101	103
DAL	PHO	DAL	PHO	52f2f31c90a49484183283c6	12/8/2009	2009-10	102	101
LAC	ORL	ORL	LAC	52f2f31d90a49484183283c7	12/8/2009	2009-10	86	97
MEM	CLE	MEM	CLE	52f2f31d90a49484183283c8	12/8/2009	2009-10	111	109
NOH	SAC	NOH	SAC	52f2f31e90a49484183283c9	12/8/2009	2009-10	96	94
TOR	MIN	TOR	MIN	52f2f31f90a49484183283ca	12/8/2009	2009-10	94	88
ATL	CHI	ATL	CHI	52f2f31f90a49484183283cb	12/9/2009	2009-10	118	83
HOU	CLE	HOU	CLE	52f2f32090a49484183283cc	12/9/2009	2009-10	95	85
IND	POR	POR	IND	52f2f32190a49484183283cd	12/9/2009	2009-10	91	102
LAL	UTA	LAL	UTA	52f2f32190a49484183283ce	12/9/2009	2009-10	101	77
MIL	TOR	MIL	TOR	52f2f32290a49484183283cf	12/9/2009	2009-10	117	95
MIN	NOH	NOH	MIN	52f2f32390a49484183283d0	12/9/2009	2009-10	96	97
NJN	GSW	GSW	NJN	52f2f32390a49484183283d1	12/9/2009	2009-10	89	105
PHI	DET	DET	PHI	52f2f32490a49484183283d2	12/9/2009	2009-10	86	90
DEN	PHO	DEN	PHO	52f2f33090a49484183283e4	12/12/2009	2009-10	105	99
DET	GSW	DET	GSW	52f2f33090a49484183283e5	12/12/2009	2009-10	104	95
MIL	POR	MIL	POR	52f2f33190a49484183283e6	12/12/2009	2009-10	108	101
SAC	MIN	SAC	MIN	52f2f33190a49484183283e7	12/12/2009	2009-10	120	100
UTA	LAL	UTA	LAL	52f2f33290a49484183283e8	12/12/2009	2009-10	102	94
WAS	IND	IND	WAS	52f2f33390a49484183283e9	12/12/2009	2009-10	113	114
ATL	NJN	ATL	NJN	52f2f33390a49484183283ea	12/13/2009	2009-10	130	107
LAC	SAS	SAS	LAC	52f2f33490a49484183283eb	12/13/2009	2009-10	90	115
MIA	MEM	MEM	MIA	52f2f33590a49484183283ec	12/13/2009	2009-10	90	118
OKC	CLE	CLE	OKC	52f2f33590a49484183283ed	12/13/2009	2009-10	89	102
TOR	HOU	TOR	HOU	52f2f33690a49484183283ee	12/13/2009	2009-10	101	88
DAL	NOH	DAL	NOH	52f2f33790a49484183283ef	12/14/2009	2009-10	94	90
DEN	OKC	DEN	OKC	52f2f33790a49484183283f0	12/14/2009	2009-10	102	93
LAC	WAS	LAC	WAS	52f2f33890a49484183283f1	12/14/2009	2009-10	97	95
MEM	BOS	BOS	MEM	52f2f33990a49484183283f2	12/14/2009	2009-10	105	110
ORL	IND	ORL	IND	52f2f33990a49484183283f3	12/14/2009	2009-10	106	98
CHA	NYK	CHA	NYK	52f2f33b90a49484183283f6	12/15/2009	2009-10	94	87
CLE	NJN	CLE	NJN	52f2f33d90a49484183283f8	12/15/2009	2009-10	99	89
HOU	DET	HOU	DET	52f2f33d90a49484183283f9	12/15/2009	2009-10	107	96
PHO	SAS	PHO	SAS	52f2f33f90a49484183283fb	12/15/2009	2009-10	116	104
POR	SAC	POR	SAC	52f2f33f90a49484183283fc	12/15/2009	2009-10	95	88
ATL	MEM	ATL	MEM	52f2f34090a49484183283fd	12/16/2009	2009-10	110	97
DEN	HOU	DEN	HOU	52f2f34190a49484183283fe	12/16/2009	2009-10	111	101
GSW	SAS	SAS	GSW	52f2f34190a49484183283ff	12/16/2009	2009-10	91	103
IND	CHA	IND	CHA	52f2f34290a4948418328400	12/16/2009	2009-10	101	98
MIL	LAL	LAL	MIL	52f2f34390a4948418328401	12/16/2009	2009-10	106	107
MIN	LAC	LAC	MIN	52f2f34590a4948418328402	12/16/2009	2009-10	95	120
NJN	UTA	UTA	NJN	52f2f34690a4948418328403	12/16/2009	2009-10	92	108
NOH	DET	NOH	DET	52f2f34790a4948418328404	12/16/2009	2009-10	95	87
OKC	DAL	DAL	OKC	52f2f34790a4948418328405	12/16/2009	2009-10	86	100
