name,From,To,Pos,Ht,Wt,Birth Date,College,player_headshot,player_id
Alaa Abdelnaby,1991,1995,F-C,6-10,240,1968-06-24,Duke University,,1
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,1946-04-7,Iowa State University,,2
Kareem Abdul-Jabbar,1970,1989,C,7-2,225,1947-04-16,"University of California, Los Angeles",,3
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,1969-03-9,Louisiana State University,,4
Tariq Abdul-Wahad,1998,2003,F,6-6,223,1974-11-3,San Jose State University,,5
Shareef Abdur-Rahim,1997,2008,F,6-9,225,1976-12-11,University of California,"static/useful_pics/Shareef Abdur-Rahim.png",6
Tom Abernethy,1977,1981,F,6-7,220,1954-05-6,Indiana University,,7
Forest Able,1957,1957,G,6-3,180,1932-07-27,Western Kentucky University,,8
John Abramovic,1947,1948,F,6-3,195,1919-02-9,Salem International University,,9
Alex Abrines,2017,2017,G-F,6-6,190,1993-08-1,,,10
Alex Acker,2006,2009,G,6-5,185,1983-01-21,Pepperdine University,"static/useful_pics/Alex Acker.png",11
Don Ackerman,1954,1954,G,6-0,183,1930-09-4,Long Island University,,12
Mark Acres,1988,1993,F-C,6-11,220,1962-11-15,Oral Roberts University,,13
Bud Acton,1968,1968,F,6-6,210,1942-01-11,Hillsdale College,,14
Quincy Acy,2013,2017,F,6-7,240,1990-10-6,Baylor University,"static/useful_pics/Quincy Acy.png",15
Alvan Adams,1976,1988,C-F,6-9,210,1954-07-19,University of Oklahoma,,16
Don Adams,1971,1977,F,6-6,210,1947-11-27,Northwestern University,,17
George Adams,1973,1975,F-G,6-5,210,1949-05-15,Gardner-Webb University,,18
Hassan Adams,2007,2009,G,6-4,220,1984-06-20,University of Arizona,"static/useful_pics/Hassan Adams.png",19
Jordan Adams,2015,2016,G,6-5,209,1994-07-8,"University of California, Los Angeles",,20
Michael Adams,1986,1996,G,5-10,162,1963-01-19,Boston College,,21
Steven Adams,2014,2017,C,7-0,255,1993-07-20,University of Pittsburgh,,22
Rafael Addison,1987,1997,F-G,6-7,215,1964-07-22,Syracuse University,,23
Rick Adelman,1969,1975,G,6-1,175,1946-06-16,Loyola Marymount University,,24
Jeff Adrien,2011,2015,F,6-7,245,1986-02-10,University of Connecticut,"static/useful_pics/Jeff Adrien.png",25
Arron Afflalo,2008,2017,G,6-5,210,1985-10-15,"University of California, Los Angeles","static/useful_pics/Arron Afflalo.png",26
Maurice Ager,2007,2011,G,6-5,202,1984-02-9,Michigan State University,"static/useful_pics/Maurice Ager.png",27
Mark Aguirre,1982,1994,F-G,6-6,232,1959-12-10,DePaul University,,28
Blake Ahearn,2008,2012,G,6-2,190,1984-05-27,Missouri State University,"static/useful_pics/Blake Ahearn.png",29
Danny Ainge,1982,1995,G,6-4,175,1959-03-17,Brigham Young University,,30
Matthew Aitch,1968,1968,F,6-7,230,1944-09-21,Michigan State University,,31
Alexis Ajinca,2009,2017,C,7-2,248,1988-05-6,,"static/useful_pics/Alexis Ajinca.png",32
Henry Akin,1967,1969,C-F,6-10,225,1944-07-31,Morehead State University,,33
Josh Akognon,2013,2013,G,5-11,185,1986-02-10,"California State University, Fullerton","static/useful_pics/Josh Akognon.png",34
Solomon Alabi,2011,2012,C,7-1,251,1988-03-21,Florida State University,"static/useful_pics/Solomon Alabi.png",35
